 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  69.120       Cref =  7.0165       Bref =  15.538    
  Xref =  4.2352       Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Centrebody_Wing                         
     # Chordwise = 14   # Spanwise = 60     First strip =  1
     Surface area Ssurf =   35.223770     Ave. chord Cave =    4.495281

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.07355     Clsurf  =  -0.01970
     CYsurf  =  -0.00926     Cmsurf  =  -0.03269
     CDsurf  =   0.00180     Cnsurf  =   0.00089
     CDisurf =   0.00180     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.14545     CDsurf  =   0.00354

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
    44   5.7358   4.6238   0.8059   2.1565   0.5570   0.7008   0.0249   0.5565   0.3254   0.0078   0.0000  -0.1048  -0.1307    0.572
    45   5.9621   4.8446   0.8419   1.9888   0.2568   0.7229   0.0301   0.6223   0.3639   0.0090   0.0000  -0.1055  -0.1380    0.540
    46   6.0286   4.9142   0.8527   1.9425   0.2605   0.7280   0.0314   0.5855   0.3752   0.0099   0.0000  -0.1064  -0.1506    0.534
    47   6.2317   5.1440   0.8865   1.8116   0.4858   0.7522   0.0393   0.6486   0.4156   0.0124   0.0000  -0.1055  -0.1575    0.504
    48   6.4349   5.3738   0.9202   1.6806   0.2253   0.7749   0.0477   0.7200   0.4614   0.0151   0.0000  -0.1034  -0.1646    0.474
    49   6.4948   5.4462   0.9303   1.6437   0.2283   0.7798   0.0500   0.6847   0.4747   0.0165   0.0000  -0.1039  -0.1767    0.469
    50   6.6787   5.6848   0.9616   1.5362   0.4268   0.7992   0.0575   0.7507   0.5204   0.0190   0.0000  -0.1024  -0.1847    0.447
    51   6.8627   5.9233   0.9929   1.4287   0.1985   0.8138   0.0667   0.8218   0.5697   0.0218   0.0000  -0.1001  -0.1926    0.426
    52   6.9172   5.9985   1.0023   1.3983   0.2009   0.8168   0.0695   0.7934   0.5842   0.0232   0.0000  -0.1005  -0.2041    0.422
    53   7.0859   6.2456   1.0314   1.3090   0.3761   0.8242   0.0798   0.8551   0.6296   0.0255   0.0000  -0.1011  -0.2140    0.411
    54   7.2545   6.4927   1.0605   1.2197   0.1752   0.8211   0.0929   0.9142   0.6731   0.0281   0.0000  -0.1009  -0.2228    0.400
    55   7.3049   6.5705   1.0691   1.1943   0.1771   0.8196   0.0972   0.8916   0.6861   0.0293   0.0000  -0.1017  -0.2332    0.398
    56   7.4619   6.8260   1.0951   1.1197   0.3321   0.7980   0.1130   0.9259   0.7125   0.0309   0.0000  -0.1047  -0.2413    0.397
    57   7.6189   7.0815   1.1211   1.0451   0.1550   0.7474   0.1362   0.9290   0.7149   0.0317   0.0000  -0.1040  -0.2413    0.395
    58   7.6662   7.1618   1.1291   1.0237   0.1566   0.7331   0.1451   0.9011   0.7158   0.0325   0.0000  -0.1042  -0.2470    0.396
    59   7.8148   7.4255   1.1549   0.9601   0.2937   0.6160   0.1844   0.8068   0.6409   0.0336   0.0000  -0.0979  -0.2253    0.403
    60   7.9633   7.6892   1.1808   0.8965   0.1371   0.2736   0.2672   0.3833   0.3045   0.0210   0.0000  -0.0519  -0.1118    0.420

  Surface # 2     Centrebody_Wing (YDUP)                  
     # Chordwise = 14   # Spanwise = 60     First strip = 61
     Surface area Ssurf =   35.223770     Ave. chord Cave =    4.495281

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.07355     Clsurf  =   0.01970
     CYsurf  =   0.00926     Cmsurf  =  -0.03269
     CDsurf  =   0.00180     Cnsurf  =  -0.00089
     CDisurf =   0.00180     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.14545     CDsurf  =   0.00354

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
    61   0.0670  -0.0051   0.0566  10.2630   0.1644   0.2767   0.0284   0.0269   0.0268   0.0028   0.0000  -0.0133   0.0200    0.747
    62   0.0691  -0.0328   0.0557  10.2602   0.3287   0.3875   0.0281   0.0378   0.0377   0.0026   0.0000  -0.0185   0.0279    0.741
    63   0.0713  -0.0605   0.0549  10.2573   0.1643   0.3862   0.0276   0.0373   0.0372   0.0072   0.0000  -0.0196   0.0289    0.777
    64   0.0745  -0.0735   0.0534  10.2539   0.3371   0.4181   0.0269   0.0426   0.0405   0.0045   0.0000  -0.0204   0.0291    0.754
    65   0.0929  -0.1299   0.0451  10.2347   0.6730   0.4773   0.0257   0.0490   0.0466   0.0025   0.0000  -0.0226   0.0326    0.736
    66   0.1113  -0.1862   0.0368  10.2155   0.3359   0.5172   0.0245   0.0529   0.0504   0.0053   0.0000  -0.0240   0.0349    0.727
    67   0.1213  -0.2068   0.0347  10.2050   0.4534   0.5180   0.0245   0.0604   0.0506   0.0041   0.0000  -0.0241   0.0315    0.727
    68   0.1678  -0.2836   0.0293  10.1568   0.9025   0.5272   0.0236   0.0620   0.0519   0.0016   0.0000  -0.0249   0.0324    0.729
    69   0.2143  -0.3603   0.0239  10.1085   0.4491   0.5638   0.0233   0.0665   0.0558   0.0020   0.0000  -0.0261   0.0343    0.718
    70   0.2323  -0.3868   0.0243  10.0896   0.5496   0.5612   0.0227   0.0727   0.0557   0.0015   0.0000  -0.0261   0.0321    0.718
    71   0.3023  -0.4808   0.0321  10.0153   1.0910   0.5531   0.0207   0.0723   0.0554   0.0005   0.0000  -0.0262   0.0321    0.723
    72   0.3723  -0.5748   0.0400   9.9411   0.5415   0.5632   0.0199   0.0741   0.0568   0.0006   0.0000  -0.0266   0.0328    0.719
    73   0.3981  -0.6062   0.0430   9.9136   0.6295   0.5639   0.0193   0.0812   0.0570   0.0003   0.0000  -0.0267   0.0308    0.718
    74   0.4944  -0.7156   0.0548   9.8101   1.2459   0.5684   0.0175   0.0828   0.0581  -0.0001   0.0000  -0.0270   0.0312    0.714
    75   0.5907  -0.8249   0.0666   9.7066   0.6164   0.5763   0.0176   0.0848   0.0596  -0.0002   0.0000  -0.0272   0.0317    0.707
    76   0.6253  -0.8609   0.0710   9.6689   0.6948   0.5767   0.0170   0.0939   0.0599  -0.0003   0.0000  -0.0273   0.0295    0.706
    77   0.7524  -0.9843   0.0876   9.5288   1.3695   0.5795   0.0150   0.0957   0.0610  -0.0003   0.0000  -0.0274   0.0298    0.699
    78   0.8796  -1.1077   0.1041   9.3887   0.6747   0.5870   0.0155   0.0984   0.0627  -0.0002   0.0000  -0.0276   0.0302    0.690
    79   0.9243  -1.1479   0.1108   9.3386   0.7489   0.5866   0.0147   0.1096   0.0630  -0.0002   0.0000  -0.0276   0.0282    0.688
    80   1.0864  -1.2842   0.1371   9.1552   1.4684   0.5880   0.0140   0.1120   0.0644   0.0002   0.0000  -0.0277   0.0285    0.681
    81   1.2484  -1.4206   0.1635   8.9719   0.7195   0.5987   0.0154   0.1164   0.0669   0.0003   0.0000  -0.0281   0.0291    0.669
    82   1.3036  -1.4647   0.1756   8.9067   0.8095   0.5969   0.0129   0.1219   0.0672  -0.0004   0.0000  -0.0281   0.0282    0.668
    83   1.4981  -1.6133   0.2275   8.6686   1.5757   0.5943   0.0146   0.1247   0.0688  -0.0000   0.0000  -0.0282   0.0285    0.659
    84   1.6927  -1.7619   0.2794   8.4305   0.7662   0.5883   0.0161   0.1270   0.0700  -0.0007   0.0000  -0.0281   0.0286    0.651
    85   1.7604  -1.8097   0.2893   8.3376   0.7734   0.5946   0.0206   0.1373   0.0716  -0.0008   0.0000  -0.0285   0.0255    0.648
    86   2.0038  -1.9699   0.3013   7.9747   1.4795   0.6064   0.0205   0.1461   0.0763   0.0005   0.0000  -0.0302   0.0271    0.646
    87   2.2472  -2.1301   0.3133   7.6118   0.7061   0.6100   0.0176   0.1542   0.0805  -0.0010   0.0000  -0.0318   0.0286    0.645
    88   2.3268  -2.1814   0.3203   7.4654   0.7518   0.6150   0.0192   0.1279   0.0827  -0.0008   0.0000  -0.0328   0.0289    0.647
    89   2.5978  -2.3527   0.3533   6.8815   1.3860   0.6030   0.0116   0.1359   0.0879   0.0002   0.0000  -0.0355   0.0311    0.654
    90   2.8689  -2.5240   0.3863   6.2977   0.6342   0.5953   0.0004   0.1466   0.0948   0.0005   0.0000  -0.0388   0.0338    0.659
    91   2.9558  -2.5786   0.3980   6.1169   0.6595   0.5934  -0.0023   0.1598   0.0973   0.0005   0.0000  -0.0399   0.0347    0.660
    92   3.2465  -2.7605   0.4403   5.5323   1.1929   0.5916  -0.0009   0.1762   0.1072   0.0005   0.0000  -0.0449   0.0387    0.669
    93   3.5372  -2.9424   0.4827   4.9478   0.5334   0.5939  -0.0026   0.1976   0.1203   0.0017   0.0000  -0.0517   0.0441    0.680
    94   3.6274  -3.0002   0.4959   4.7842   0.5437   0.5906  -0.0022   0.2267   0.1237   0.0021   0.0000  -0.0532   0.0470    0.681
    95   3.9197  -3.1923   0.5388   4.3112   0.9799   0.5992   0.0019   0.2554   0.1393   0.0013   0.0000  -0.0600   0.0529    0.681
    96   4.2120  -3.3844   0.5818   3.8383   0.4362   0.6076  -0.0008   0.2906   0.1585   0.0032   0.0000  -0.0684   0.0603    0.681
    97   4.2997  -3.4454   0.5943   3.7086   0.4399   0.6082   0.0024   0.3023   0.1642   0.0036   0.0000  -0.0707   0.0669    0.681
    98   4.5747  -3.6473   0.6321   3.3431   0.7931   0.6267   0.0114   0.3457   0.1878   0.0031   0.0000  -0.0795   0.0756    0.673
    99   4.8497  -3.8492   0.6698   2.9777   0.3532   0.6412   0.0110   0.3968   0.2156   0.0053   0.0000  -0.0892   0.0856    0.664
   100   4.9312  -3.9132   0.6816   2.8829   0.3578   0.6424   0.0132   0.4066   0.2231   0.0055   0.0000  -0.0916   0.0956    0.661
   101   5.1833  -4.1247   0.7200   2.6356   0.6542   0.6607   0.0188   0.4576   0.2511   0.0054   0.0000  -0.0970   0.1036    0.636
   102   5.4354  -4.3362   0.7584   2.3884   0.2964   0.6749   0.0161   0.5157   0.2829   0.0065   0.0000  -0.1017   0.1118    0.609
   103   5.5094  -4.4030   0.7699   2.3242   0.3001   0.6779   0.0156   0.4994   0.2920   0.0069   0.0000  -0.1032   0.1238    0.603
   104   5.7358  -4.6238   0.8059   2.1565   0.5570   0.7008   0.0249   0.5565   0.3254   0.0078   0.0000  -0.1048   0.1307    0.572
   105   5.9621  -4.8446   0.8419   1.9888   0.2568   0.7229   0.0301   0.6223   0.3639   0.0090   0.0000  -0.1055   0.1380    0.540
   106   6.0286  -4.9142   0.8527   1.9425   0.2605   0.7280   0.0314   0.5855   0.3752   0.0099   0.0000  -0.1064   0.1506    0.534
   107   6.2317  -5.1440   0.8865   1.8116   0.4858   0.7522   0.0393   0.6486   0.4156   0.0124   0.0000  -0.1055   0.1575    0.504
   108   6.4349  -5.3738   0.9202   1.6806   0.2253   0.7749   0.0477   0.7200   0.4614   0.0151   0.0000  -0.1034   0.1646    0.474
   109   6.4948  -5.4462   0.9303   1.6437   0.2283   0.7798   0.0500   0.6847   0.4747   0.0165   0.0000  -0.1039   0.1767    0.469
   110   6.6787  -5.6848   0.9616   1.5362   0.4268   0.7992   0.0575   0.7507   0.5204   0.0190   0.0000  -0.1024   0.1847    0.447
   111   6.8627  -5.9233   0.9929   1.4287   0.1985   0.8138   0.0667   0.8218   0.5697   0.0218   0.0000  -0.1001   0.1926    0.426
   112   6.9172  -5.9985   1.0023   1.3983   0.2009   0.8168   0.0695   0.7934   0.5842   0.0232   0.0000  -0.1005   0.2041    0.422
   113   7.0859  -6.2456   1.0314   1.3090   0.3761   0.8242   0.0798   0.8551   0.6296   0.0255   0.0000  -0.1011   0.2140    0.411
   114   7.2545  -6.4927   1.0605   1.2197   0.1752   0.8211   0.0929   0.9142   0.6731   0.0281   0.0000  -0.1009   0.2228    0.400
   115   7.3049  -6.5705   1.0691   1.1943   0.1771   0.8196   0.0972   0.8916   0.6861   0.0293   0.0000  -0.1017   0.2332    0.398
   116   7.4619  -6.8260   1.0951   1.1197   0.3321   0.7980   0.1130   0.9259   0.7125   0.0309   0.0000  -0.1047   0.2413    0.397
   117   7.6189  -7.0815   1.1211   1.0451   0.1550   0.7474   0.1362   0.9290   0.7149   0.0317   0.0000  -0.1040   0.2413    0.395
   118   7.6662  -7.1618   1.1291   1.0237   0.1566   0.7331   0.1451   0.9011   0.7158   0.0325   0.0000  -0.1042   0.2470    0.396
   119   7.8148  -7.4255   1.1549   0.9601   0.2937   0.6160   0.1844   0.8068   0.6409   0.0336   0.0000  -0.0979   0.2253    0.403
   120   7.9633  -7.6892   1.1808   0.8965   0.1371   0.2736   0.2672   0.3833   0.3045   0.0210   0.0000  -0.0519   0.1118    0.420
 ---------------------------------------------------------------
